Rank,Player Name,Team,Position,Min,Max,STD Dev
142,Pittsburgh Steelers,PIT,DST,123,147,8.97,
143,Jonnu Smith,TEN,TE,104,220,49.15,
144,Jimmy Garoppolo,SF,QB,101,162,22.26,
145,Justin Jefferson,MIN,WR,89,183,35.24,
146,Jerry Jeudy,DEN,WR,101,181,28.54,
147,DeSean Jackson,PHI,WR,98,223,52.39,
148,Sam Darnold,NYJ,QB,110,178,31.00,
149,Chase Edmonds,ARI,RB,75,188,43.21,
150,Breshad Perriman,NYJ,WR,106,174,24.26,
151,Jalen Reagor,PHI,WR,121,187,25.82,
152,Boston Scott,PHI,RB,116,184,26.87,
153,Brandon Aiyuk,SF,WR,125,199,32.94,
154,Teddy Bridgewater,CAR,QB,126,157,12.75,
155,Buffalo Bills,BUF,DST,135,163,11.11,
156,Ke'Shawn Vaughn,TB,RB,71,151,33.63,
157,Parris Campbell,IND,WR,124,217,34.40,
158,Justin Tucker,BAL,K,145,166,8.35,
159,Minnesota Vikings,MIN,DST,142,171,11.34,
160,Philip Rivers,IND,QB,130,173,16.92,
161,New Orleans Saints,NO,DST,139,196,23.89,
162,Henry Ruggs III,LV,WR,90,198,40.08,
163,Derek Carr,LV,QB,127,211,32.90,
164,Harrison Butker,KC,K,152,174,8.64,
165,Nyheim Hines,IND,RB,119,202,38.85,
166,Kansas City Chiefs,KC,DST,152,179,10.84,
167,Gardner Minshew II,JAC,QB,108,248,54.12,
168,Wil Lutz,NO,K,158,178,8.26,
169,Sony Michel,NE,RB,112,165,21.65,
170,Allen Lazard,GB,WR,129,205,32.78,
171,Greg Zuerlein,DAL,K,154,187,11.97,
172,DeAndre Washington,KC,RB,132,159,11.44,
173,Laviska Shenault Jr.,JAC,WR,131,190,23.14,
174,Jack Doyle,IND,TE,120,168,19.65,
175,Greg Olsen,SEA,TE,134,153,8.18,
176,Eric Ebron,PIT,TE,119,163,19.67,
177,New England Patriots,NE,DST,134,202,24.42,
178,James Washington,PIT,WR,136,204,26.62,
179,Drew Lock,DEN,QB,148,269,51.68,
180,Justin Jackson,LAC,RB,122,213,40.94,
181,Denver Broncos,DEN,DST,141,208,24.24,
182,Robby Anderson,CAR,WR,152,165,5.35,
183,Ian Thomas,CAR,TE,136,204,31.37,
184,Sammy Watkins,KC,WR,133,179,19.91,
185,Matt Prater,DET,K,170,199,12.82,
186,Philadelphia Eagles,PHI,DST,168,195,12.38,
187,Robbie Gould,SF,K,165,210,16.48,
188,Los Angeles Rams,LAR,DST,159,177,8.26,
189,N'Keal Harry,NE,WR,130,197,30.27,
190,O.J. Howard,TB,TE,130,196,30.88,
191,Zane Gonzalez,ARI,K,174,219,16.89,
192,Dallas Cowboys,DAL,DST,140,244,40.74,
193,Ryan Fitzpatrick,MIA,QB,153,228,26.92,
194,Los Angeles Chargers,LAC,DST,168,228,22.79,
195,Jace Sternberger,GB,TE,137,156,9.50,
196,Irv Smith Jr.,MIN,TE,138,249,48.64,
197,Tennessee Titans,TEN,DST,167,229,22.55,
198,Hunter Renfrow,LV,WR,165,211,20.24,
199,Jake Elliott,PHI,K,178,233,22.79,
200,Michael Pittman Jr.,IND,WR,141,163,11.00,
201,A.J. Dillon,GB,RB,148,226,32.01,
202,Dawson Knox,BUF,TE,175,199,9.81,
203,Bryan Edwards,LV,WR,149,164,7.50,
204,Seattle Seahawks,SEA,DST,177,225,17.17,
205,Tyrod Taylor,LAC,QB,169,235,24.05,
206,Ryquell Armstead,JAC,RB,84,277,96.50,
207,Alshon Jeffery,PHI,WR,181,218,16.78,
208,Larry Fitzgerald,ARI,WR,174,209,14.97,
209,Dan Bailey,MIN,K,172,245,28.33,
210,Carlos Hyde,SEA,RB,154,190,18.00,
211,Matt Gay,TB,K,182,216,14.08,
212,Indianapolis Colts,IND,DST,162,260,41.71,
213,Chris Thompson,JAC,RB,176,219,17.68,
